상품명,URL
데임 Dame PS-5 베이스기타 (TS),http://www.schoolmusic.co.kr/Shop/index.php3?var=Good&Good_no=64553&version=pc
데임 Dame PS-5 베이스기타 (AWH),http://www.schoolmusic.co.kr/Shop/index.php3?var=Good&Good_no=64550&version=pc
데임 Dame VS-5 베이스기타 (DKN),http://www.schoolmusic.co.kr/Shop/index.php3?var=Good&Good_no=64319&version=pc
데임 Dame VS-5 베이스기타 (MLG),http://www.schoolmusic.co.kr/Shop/index.php3?var=Good&Good_no=60838&version=pc
